"","id","IV_rank","IV_closeness","age","gender","hhi","ethnicity","hispanic","education","political_party","region","zip","g5sd1","dv1","dv2","dv3"
"1",1,"named","close",38,"1","1","1","1","-3105","4","3","35094","Female","Moderately confident","Neutral","Moderately"
"2",2,"asso","close",67,"2","1","2","1","1","1","3","77063","Female","Slightly confident","Very confident","Extremely confident"
"3",3,"named","close",29,"1","4","15","2","5","5","4","85023","Male","Slightly confident","Somewhat agree","Somewhat"
"4",4,"named","limited",45,"2","4","1","14","2","1","4","85621","Female","Somewhat confident","Neutral","Moderately"
"5",5,"named","limited",56,"2","1","2","1","6","3","2","45211","Female","Not confident at all","Strongly disagree","Not at all"
"6",6,"named","limited",31,"1","17","1","1","6","1","3","77904","Male","Fully confident","Strongly agree","Completely"
"7",7,"asso","limited",42,"2","11","10","1","5","2","2","57252","Female","Slightly confident","Strongly disagree","Very much"
"8",8,"named","close",35,"2","5","2","1","2","1","3","32608","Female","Very confident","Strongly agree","Extremely"
"9",9,"named","close",40,"2","1","2","10","7","1","1","11238","Female","Slightly confident","Neutral","Very much"
"10",10,"asso","close",79,"1","20","1","1","7","2","3","33547","Male","Not confident at all","Not confident at all","Moderately confident"
"11",11,"named","limited",68,"2","22","1","1","7","2","1","19031","Female","Slightly confident","Somewhat agree","A little"
"12",12,"named","limited",36,"2","12","2","1","6","1","3","28213","Female","Very confident","Strongly agree","Extremely"
"13",13,"asso","close",75,"2","1","1","1","8","2","1","17020","Female","Moderately confident","Moderately confident","Moderately confident"
"14",14,"named","close",63,"2","4","2","1","2","1","3","75227","Female","Somewhat confident","Somewhat agree","Somewhat"
"15",15,"named","limited",39,"2","1","1","1","2","1","1","10916","Female","Not confident at all","Strongly disagree","Not at all"
"16",16,"asso","close",47,"2","17","1","1","1","3","3","74063","Female","Extremely confident","Fully confident","Extremely confident"
"17",17,"asso","close",57,"1","2","1","1","2","6","4","91505","Male","Very confident","Moderately confident","Very confident"
"18",18,"named","close",66,"2","9","1","1","7","2","1","19608","Female","Somewhat confident","Neutral","Somewhat"
"19",19,"named","limited",73,"2","19","1","1","7","3","1","02842","Female","Not confident at all","Disagree","Somewhat"
"20",20,"asso","limited",54,"1","18","2","1","4","7","4","92563","Male","Very confident","Neutral","Very much"
"21",21,"named","limited",45,"1","4","1","1","5","2","1","15212","Male","Very confident","Strongly agree","Extremely"
"22",22,"named","limited",51,"2","1","1","1","6","3","1","08360","Female","Moderately confident","Somewhat agree","Somewhat"
"23",23,"asso","close",31,"2","1","1","2","1","3","3","79916","Female","Moderately confident","Moderately confident","Moderately confident"
"24",24,"asso","limited",24,"1","11","10","9","5","5","3","20785","Male","Slightly confident","Neutral","Somewhat"
"25",25,"asso","limited",74,"2","9","1","1","6","3","3","29575","Female","Very confident","Somewhat agree","Somewhat"
"26",26,"named","close",46,"2","23","1","1","7","1","4","80501","Female","Somewhat confident","Neutral","Moderately"
"27",27,"named","close",45,"2","1","1","1","2","3","3","25268","Male","Somewhat confident","Neutral","Somewhat"
"28",28,"named","limited",53,"1","2","1","1","1","2","2","44820","Male","Extremely confident","Strongly agree","Extremely"
"29",29,"asso","limited",36,"2","1","1","1","2","1","3","70764","Female","Slightly confident","Strongly agree","A little"
"30",30,"asso","limited",26,"2","1","2","1","2","2","2","63834","Female","Very confident","Neutral","Moderately"
"31",31,"asso","limited",30,"2","9","2","1","6","2","2","60619","Female","Very confident","Agree","Very much"
"32",32,"named","limited",36,"1","4","2","1","4","1","3","76548","Male","Fully confident","Strongly agree","Completely"
"33",33,"asso","limited",62,"2","7","1","1","2","1","3","76711","Female","Slightly confident","Somewhat disagree","Somewhat"
"34",34,"asso","close",22,"2","8","1","1","2","3","3","21229","Female","Very confident","Somewhat confident","Somewhat confident"
"35",35,"named","close",24,"2","9","1","1","6","3","3","33702","Female","Very confident","Somewhat agree","Moderately"
"36",36,"asso","limited",19,"2","1","15","10","2","3","3","28025","Female","Moderately confident","Somewhat agree","A little"
"37",37,"named","close",47,"2","14","1","1","7","2","3","79106","Female","Very confident","Agree","Completely"
"38",38,"named","close",43,"1","1","1","1","2","1","4","80538","Male","Moderately confident","Somewhat agree","Very much"
"39",39,"asso","limited",33,"1","23","2","1","6","1","3","33023","Male","Very confident","Somewhat agree","Completely"
"40",40,"asso","close",65,"2","7","1","1","4","2","2","52060","Female","Extremely confident","Extremely confident","Extremely confident"
"41",41,"named","close",31,"1","4","2","1","8","2","4","99301","Male","Moderately confident","Somewhat agree","Extremely"
"42",42,"named","close",29,"2","2","1","1","2","5","3","30110","Female","Somewhat confident","Neutral","Moderately"
"43",43,"asso","limited",41,"2","4","2","1","2","3","3","30303","Female","Moderately confident","Neutral","Moderately"
"44",44,"asso","limited",46,"2","6","1","1","7","3","1","48632","Female","Slightly confident","Neutral","Somewhat"
"45",45,"named","close",50,"1","5","2","1","3","1","3","70814","Male","Extremely confident","Agree","Extremely"
"46",46,"named","limited",34,"1","18","1","1","7","2","4","80019","Male","Somewhat confident","Somewhat agree","Very much"
"47",47,"named","close",50,"2","2","1","1","2","1","2","49451","Female","Very confident","Strongly agree","Completely"
"48",48,"asso","limited",42,"1","19","1","1","7","1","3","77479","Male","Fully confident","Strongly agree","Completely"
"49",49,"named","close",39,"2","1","2","1","1","3","1","06514","Female","Moderately confident","Neutral","Moderately"
"50",50,"named","close",40,"2","1","2","1","2","4","3","23112","Female","Moderately confident","Neutral","Moderately"
"51",51,"asso","close",73,"1","12","1","1","6","6","1","19382","Female","Very confident","Very confident","Very confident"
"52",52,"named","limited",65,"2","1","1","1","3","2","3","31204","Female","Slightly confident","Somewhat disagree","Somewhat"
"53",53,"asso","limited",78,"1","16","1","1","8","3","3","34744","Male","Extremely confident","Somewhat agree","Extremely"
"54",54,"asso","close",63,"1","7","1","1","8","2","1","06492","Male","Moderately confident","Moderately confident","Extremely confident"
"55",55,"named","limited",26,"1","1","2","5","6","2","1","11520","Male","Fully confident","Strongly agree","Completely"
"56",56,"named","limited",39,"1","13","1","1","7","1","4","90001","Male","Fully confident","Strongly agree","Very much"
"57",57,"asso","limited",25,"2","20","1","1","2","5","3","29691","Female","Very confident","Neutral","Somewhat"
"58",58,"asso","limited",22,"2","1","2","1","2","3","3","27870","Female","Moderately confident","Neutral","Moderately"
